Unique ID,name,street,city,province,postal,X,Y
11886,Shoppers Drug Mart,204 First Avenue,St. Thomas,Ontario,N5R 4P5,42.775232,-81.17561
11900,Shoppers Drug Mart,270 MUD STREET WEST,Stoney Creek,Ontario,L8J 3Z6,43.196536,-79.793725
11906,Shoppers Drug Mart,210 Mohawk Road East,Hamilton,Ontario,L9A 2H6,43.225539,-79.871552
11934,Shoppers Drug Mart,455 Bank St,Ottawa,Ontario,K2P 1Y9,45.411826,-75.692899
11935,Shoppers Drug Mart,4744 bank street,ottawa,Ontario,K1T 0K8,45.319869,-75.59423
11967,Shoppers Drug Mart,248 Manitoba St,Bracebridge,Ontario,P1L 2E1,45.044695,-79.319215
11975,Shoppers Drug Mart,310 Fairway Rd S,Kitchener,Ontario,N2C 1X3,43.421559,-80.444005
12026,Shoppers Drug Mart,431 Richmond St,London,Ontario,N6A 6E2,42.984411,-81.250403
12048,Shoppers Drug Mart,5175 VICTORIA AVENUE,Niagara Falls,Ontario,L2E 4E4,43.099289,-79.073133
12052,Shoppers Drug Mart,3701 PORTAGE ROAD,Niagara Falls,Ontario,L2J 2K8,43.11937,-79.099548
12056,Shoppers Drug Mart,387 Scott Street,St. Catharines,Ontario,L2M 3W2,43.190422,-79.227029
12104,Shoppers Drug Mart,211 Ontario St.,Stratford,Ontario,N5A 3H3,43.370846,-80.977489
12105,Shoppers Drug Mart,16640 Yonge St,Newmarket,Ontario,L3X 2N8,44.03395,-79.475421
12149,Shoppers Drug Mart,600 The East Mall,Toronto,Ontario,M0B 4S1,43.656074,-79.565063
12179,Shoppers Drug Mart,70 EGLINTON SQUARE BLVD,Toronto,Ontario,M1L 2K1,43.724034,-79.300677
12193,Shoppers Drug Mart,747 Don Mills Rd,Toronto,Ontario,M3C 1T2,43.714038,-79.334223
12246,Shoppers Drug Mart,415 The West Way,Toronto,Ontario,M9R 1H5,43.683881,-79.564842
12289,Shoppers Drug Mart,900 ALBION RD,Toronto,Ontario,M9V 1A5,43.735588,-79.559843
12296,Shoppers Drug Mart,115 Dundas St. N,Cambridge,Ontario,N1R 5T8,43.359248,-80.294006
12302,Shoppers Drug Mart,2148 Carling Ave,Ottawa,Ontario,K2A 1H1,45.370815,-75.768939
12322,Shoppers Drug Mart,7235 Bellshire Gate,Mississauga,Ontario,L5N 8A2,43.621416,-79.743542
12353,Shoppers Drug Mart,500 Manning Road,Tecumseh,Ontario,N8N 5H3,42.311538,-82.868439
12368,Shoppers Drug Mart,5425 CREDITVIEW ROAD,Mississauga,Ontario,L5V 2P3,43.586652,-79.696196
12428,Sobeys Pharmacy,581 Huron Street,Stratford,Ontario,N5A 5T8,43.37998,-81.004365
12459,Brant Lakeshore Pharmacy,1477 LAKESHORE ROAD,Burlington,Ontario,L7S 1B5,43.3244709,-79.7963485
12477,Wal-Mart Pharmacy,300 KING GEORGE RD,BRANTFORD,Ontario,N3R 5L7,43.1840321,-80.2784145
12493,Wal-Mart Pharmacy,1899 Brock Rd,Pickering,Ontario,L1V 4H7,43.8441874,-79.0681723
12549,Wal-Mart Pharmacy,24 Miikana Way,Kenora,Ontario,P9N 4J1,49.757798,-94.4742074
12673,Argyle Medical Pharmacy,250 ARGYLE ST N,CALEDONIA,Ontario,N3W 1K9,43.0795191,-79.9481766
12691,Christina Street Pharmacy,460 Christina Street North,Sarnia,Ontario,N7T 5W4,42.9817637,-82.4021102
12713,Glen Shields Pharmacy,80 Glen Shields Avenue,Concord,Ontario,L4K 1T7,43.7921326,-79.4771263
12745,Harwood Pharmacy,580 HARWOOD AVENUE SOUTH,AJAX,Ontario,L1S 2J4,43.8367781,-79.0171169
