name,street,city,postal,date,link
330 Queens Plate Dr - Loblaw,330 Queens Plate Drive,"Etobicoke, ON",M9W 7J7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
666 Burnhamthorpe Rd. - Shoppers Drug Mart,666 Burnhamthorpe Rd.,"Etobicoke, ON",M9C 2Z4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Lakeside Pharmacy,2438 Lake Shore Blvd. West,"Etobicoke , ON",M8V 1C4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
69 King St. East - Shoppers Drug Mart,69 King St. East,"Harrow, ON",N0R 1G0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Harrowsmith Pharmacy,"4937 Hwy 38, Unit 2","Harrrowsmith, ON",K0H 1V0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Inverary Pharmasave,"3810 Perth Rd., Unit 1B","Inverary, ON",K0H 1X0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1201 Division St. - Shoppers Drug Mart,1201 Division Street,"Kingston, ON",K7K 6X4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Med+ Pharmacy,277 Bath Road,"Kingston, ON",K7M 2X6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1030 Coverdale Drive - Loblaw,1030 Coverdale Drive,"Kingston, ON",K7M 8X7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
823 Highway 15 - Shoppers Drug Mart,823 Highway 15,"Kingston, ON",K7L 4V3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1100 Princess Street - Loblaw,1100 Princess St.,"Kingston, ON",K7L 5G8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1162 Division Road - Loblaw,1162 Division Road,"Kingston, ON",K7K 0C3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1048 Midland Avenue - Loblaw,1048 Midland Avenue,"Kingston, ON",K7P 2X9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1015 Centennial Drive - Costco,1015 Centennial Drive,"Kingston, ON",K7P 3B7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2327 Princess Street - Sobeys,2327 Princess Street,"Kingston, ON",K7M 3G1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
