name,street,city,province,postal,full address,X,Y,date,link
Sam's I.D.A. Pharmacy,1920 Yonge Street,"Toronto, ON",Ontario,M4S 3E2,"1920 Yonge Street Toronto, ON M4S 3E2",43.6987992,-79.3972615,2021-04-13T14:53:25.409Z,https://covid-19.ontario.ca/vaccine-locations
Sandycove Drug Store,902 Lockhart Road Unit 3,"Innisfil, ON",Ontario,L9S 4V2,"902 Lockhart Road Unit 3 Innisfil, ON L9S 4V2",44.3528478,-79.553978,2021-04-13T14:53:25.204Z,https://covid-19.ontario.ca/vaccine-locations
Sanomed Pharmacy & Compounding Centre,1000 Bay Street,"Toronto, ON",Ontario,M5S 3A8,"1000 Bay Street Toronto, ON M5S 3A8",43.6650475,-79.387829,2021-04-13T14:53:25.409Z,https://covid-19.ontario.ca/vaccine-locations
Schomberg Village Pharmacy,50 Dr. Kay Drive Units 11A & 11B,"Schomberg, ON",Ontario,L0G 1T0,"50 Dr. Kay Drive Units 11A & 11B Schomberg, ON L0G 1T0",44.0059883,-79.6780313,2021-04-13T14:53:25.361Z,https://covid-19.ontario.ca/vaccine-locations
Seaway Valley Pharmacy,507 Main Street,"Winchester, ON",Ontario,K0C 2K0,"507 Main Street Winchester, ON K0C 2K0",45.0925251,-75.3545628,2021-04-13T14:53:25.447Z,https://covid-19.ontario.ca/vaccine-locations
Sherman IDA Pharmacy,675 Rymal Road East,"Hamilton, ON",Ontario,L8W 1B5,"675 Rymal Road East Hamilton, ON L8W 1B5",43.1952799,-79.8627461,2021-04-13T14:53:25.198Z,https://covid-19.ontario.ca/vaccine-locations
Shih Pharmacy,2700 Kipling Avenue Unit 9,"Rexdale, ON",Ontario,M9V 4P2,"2700 Kipling Avenue Unit 9 Rexdale, ON M9V 4P2",43.7566065,-79.5894024,2021-04-13T14:53:25.336Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,,"Mississauga, ON",Ontario,L5G 1H9,"Mississauga, ON L5G 1H9",43.5675015,-79.5708798,2021-04-13T14:53:25.275Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,,"Toronto, ON",Ontario,M5S 1X1,"Toronto, ON M5S 1X1",43.6666317,-79.4052826,2021-04-13T14:53:25.425Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1 Kennedy Road South,"Brampton, ON",Ontario,L6W 3C9,"1 Kennedy Road South Brampton, ON L6W 3C9",43.6945685,-79.7491965,2021-04-13T14:53:25.135Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1 Queensgate Blvd.,"Bolton, ON",Ontario,L7E 2X7,"1 Queensgate Blvd. Bolton, ON L7E 2X7",43.8690499,-79.7221094,2021-04-13T14:53:25.114Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"10 Alkenbrack Street, Unit 2","Napanee, ON",Ontario,K7R 0A6,"10 Alkenbrack Street, Unit 2 Napanee, ON K7R 0A6",44.2564519,-76.9609132,2021-04-13T14:53:25.284Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,10088 McLaughlin Road,"Brampton, ON",Ontario,L7A 2X6,"10088 McLaughlin Road Brampton, ON L7A 2X6",43.6963155,-79.8007812,2021-04-13T14:53:25.135Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"101 Osler Drive, Unit 102","Dundas, ON",Ontario,L9H 4H4,"101 Osler Drive, Unit 102 Dundas, ON L9H 4H4",43.257057,-79.9422669,2021-04-13T14:53:25.158Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1011 Princess Street,"Kingston, ON",Ontario,K7L 1H3,"1011 Princess Street Kingston, ON K7L 1H3",44.2436526,-76.5142772,2021-04-13T14:53:25.221Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1011 Upper Middle Road Unit D5,"Oakville, ON",Ontario,L6H 4L3,"1011 Upper Middle Road Unit D5 Oakville, ON L6H 4L3",43.483727,-79.6945815,2021-04-13T14:53:25.305Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1015 Lakeshore Boulevard East,"Toronto, ON",Ontario,M4M 1B4,"1015 Lakeshore Boulevard East Toronto, ON M4M 1B4",43.6582347,-79.3287763,2021-04-13T14:53:25.420Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1020 Kennedy Circle,"Milton, ON",Ontario,L9T 0J9,"1020 Kennedy Circle Milton, ON L9T 0J9",43.5079983,-79.8388655,2021-04-13T14:53:25.262Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1027 Yonge Street,"Toronto, ON",Ontario,M4W 2K9,"1027 Yonge Street Toronto, ON M4W 2K9",43.6776412,-79.3894544,2021-04-13T14:53:25.426Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"1033 Queen Street West, Unit A","Toronto, ON",Ontario,M6J 0A6,"1033 Queen Street West, Unit A Toronto, ON M6J 0A6",43.6438493,-79.419533,2021-04-13T14:53:25.411Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,105 Sutherland Drive,"Kingston, ON",Ontario,K7K 5V6,"105 Sutherland Drive Kingston, ON K7K 5V6",44.2689808,-76.4801421,2021-04-13T14:53:25.220Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"10661 Chinguacousy Road, Bldg. C, Fletchers Meadow","Brampton, ON",Ontario,L7A 0N5,"10661 Chinguacousy Road, Bldg. C, Fletchers Meadow Brampton, ON L7A 0N5",43.697641,-79.823528,2021-04-13T14:53:25.134Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,10665 Bramalea Road,"Brampton, ON",Ontario,L6R 3P4,"10665 Bramalea Road Brampton, ON L6R 3P4",43.7573939,-79.7607531,2021-04-13T14:53:25.137Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,107 Edward Street St.,"Thomas, ON",Ontario,N5P 1Y8,"107 Edward Street St. Thomas, ON N5P 1Y8",42.7852066,-81.1760418,2021-04-13T14:53:25.367Z,https://covid-19.ontario.ca/vaccine-locations
