name,street,city,province,postal,full address,X,Y,date,link
Alcona Pharmacy,1070 Innisfil Beach Road Unit 14,"Innisfil, ON",Ontario,L9S 4T9,"1070 Innisfil Beach Road Unit 14 Innisfil, ON L9S 4T9",44.314201,-79.553889,2021-04-13T14:53:25.204Z,https://covid-19.ontario.ca/vaccine-locations
Allcures Pharmacy,"31 St. Dennis Drive, Unit 1","Toronto, ON",Ontario,M3C 1G7,"31 St. Dennis Drive, Unit 1 Toronto, ON M3C 1G7",43.7183786,-79.3300652,2021-04-13T14:53:25.379Z,https://covid-19.ontario.ca/vaccine-locations
Alphamed Pharmacy,460 Albert Street,"Waterloo, ON",Ontario,N2L 6J8,"460 Albert Street Waterloo, ON N2L 6J8",43.4857768,-80.5403074,2021-04-13T14:53:25.438Z,https://covid-19.ontario.ca/vaccine-locations
Amherstview Drugs,4499 Bath Road,"Kingston, ON",Ontario,K7N 1A6,"4499 Bath Road Kingston, ON K7N 1A6",44.2191619,-76.6434574,2021-04-13T14:53:25.211Z,https://covid-19.ontario.ca/vaccine-locations
Angus Borden Guardian Pharmacy,6 River Drive Unit 1,"Angus, ON",Ontario,L0M 1B2,"6 River Drive Unit 1 Angus, ON L0M 1B2",44.3219436,-79.8868634,2021-04-13T14:53:25.086Z,https://covid-19.ontario.ca/vaccine-locations
Apothe Sos Pharmacy,314 Central Park Drive Unit 8,"Ottawa, ON",Ontario,K2C 0R2,"314 Central Park Drive Unit 8 Ottawa, ON K2C 0R2",45.3682958,-75.7333981,2021-04-13T14:53:25.314Z,https://covid-19.ontario.ca/vaccine-locations
Apple-Hills Medical Pharmacy,1221 Bloor Street East,"Mississauga, ON",Ontario,L4Y 2N8,"1221 Bloor Street East Mississauga, ON L4Y 2N8",43.6132975,-79.5984867,2021-04-13T14:53:25.263Z,https://covid-19.ontario.ca/vaccine-locations
Arcade And Jory Guardian Pharmacy,286 King Street,"Midland, ON",Ontario,L4R 3M6,"286 King Street Midland, ON L4R 3M6",44.749286,-79.885397,2021-04-13T14:53:25.260Z,https://covid-19.ontario.ca/vaccine-locations
Aria Pharmacy,11 Newton Drive North,"York, ON",Ontario,M2M 2M6,"11 Newton Drive North York, ON M2M 2M6",43.7929543,-79.4177874,2021-04-13T14:53:25.296Z,https://covid-19.ontario.ca/vaccine-locations
Atlas Pharmacy,1383 16th Avenue Unit 1A Richmond,"Hill, ON",Ontario,L4B 0E2,"1383 16th Avenue Unit 1A Richmond Hill, ON L4B 0E2",43.8612788,-79.3899336,2021-04-13T14:53:25.336Z,https://covid-19.ontario.ca/vaccine-locations
Ava Pharmacy,"81 St. Clair Avenue East, Unit 220","Toronto, ON",Ontario,M4T 1M7,"81 St. Clair Avenue East, Unit 220 Toronto, ON M4T 1M7",43.6884774,-79.3907408,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Baden Village Pharmacy,18 Snyders Road Unit 6A,"Baden, ON",Ontario,N3A 0A7,"18 Snyders Road Unit 6A Baden, ON N3A 0A7",43.4042319,-80.6696248,2021-04-13T14:53:25.094Z,https://covid-19.ontario.ca/vaccine-locations
Bank Street Medical Pharmacy,1935 Bank St.,"Ottawa, ON",Ontario,K1V 8A3,"1935 Bank St. Ottawa, ON K1V 8A3",45.3680045,-75.6615191,2021-04-13T14:53:25.314Z,https://covid-19.ontario.ca/vaccine-locations
Barriefield Pharmasave,"760 Highway 15, Unit 13","Kingston, ON",Ontario,K7L 0C3,"760 Highway 15, Unit 13 Kingston, ON K7L 0C3",44.2529193,-76.4609127,2021-04-13T14:53:25.212Z,https://covid-19.ontario.ca/vaccine-locations
Bath Family Pharmacy,"220 Main Street, Unit 1","Bath, ON",Ontario,K0H 1G0,"220 Main Street, Unit 1 Bath, ON K0H 1G0",44.1848457,-76.7674054,2021-04-13T14:53:25.104Z,https://covid-19.ontario.ca/vaccine-locations
Bathurst Wilson I.D.A. Pharmacy,322 Wilson Avenue,"Toronto, ON",Ontario,M3H 1S8,"322 Wilson Avenue Toronto, ON M3H 1S8",43.7371923,-79.4366764,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Beaches Pharmacy,1967 Queen Street East,"Toronto, ON",Ontario,M4L 1H9,"1967 Queen Street East Toronto, ON M4L 1H9",43.6695158,-79.3014836,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Beverly Med Pharmacy,9201 Yonge St. Northwest unit 6 Richmond,"Hill, ON",Ontario,L4C 1H9,"9201 Yonge St. Northwest unit 6 Richmond Hill, ON L4C 1H9",43.8517867,-79.4325904,2021-04-13T14:53:25.337Z,https://covid-19.ontario.ca/vaccine-locations
Binbrook Pharmacy,3011 Highway 56,"Binbrook, ON",Ontario,L0R 1C0,"3011 Highway 56 Binbrook, ON L0R 1C0",43.1205529,-79.8042467,2021-04-13T14:53:25.110Z,https://covid-19.ontario.ca/vaccine-locations
Birchmount Pharmasave,462 Birchmount Road,"Scarborough, ON",Ontario,M1K 1N8,"462 Birchmount Road Scarborough, ON M1K 1N8",43.7069465,-79.2687238,2021-04-13T14:53:25.346Z,https://covid-19.ontario.ca/vaccine-locations
Boggio & Edwards Ridgeway IDA,307 Ridge Road North,"Ridgeway, ON",Ontario,L0S 1N0,"307 Ridge Road North Ridgeway, ON L0S 1N0",42.8831805,-79.0522665,2021-04-13T14:53:25.343Z,https://covid-19.ontario.ca/vaccine-locations
Boggio & Mackinnon Pharmacy,6680 Drummond Road Niagara,"Falls, ON",Ontario,L2G 4P1,"6680 Drummond Road Niagara Falls, ON L2G 4P1",43.0781914,-79.09694,2021-04-13T14:53:25.292Z,https://covid-19.ontario.ca/vaccine-locations
Boggio Pharmacy Ltd,200 Catharine Street Port,"Colborne, ON",Ontario,L3K 4K8,"200 Catharine Street Port Colborne, ON L3K 4K8",42.885297,-79.2529779,2021-04-13T14:53:25.333Z,https://covid-19.ontario.ca/vaccine-locations
Brady's Drug Store,186 Talbot Street South,"Essex, ON",Ontario,N8M 1B6,"186 Talbot Street South Essex, ON N8M 1B6",42.1683978,-82.8144494,2021-04-13T14:53:25.162Z,https://covid-19.ontario.ca/vaccine-locations
Bradys Drug Store Belle River,190 Chisholm Street Belle,"River, ON",Ontario,N0R 1A0,"190 Chisholm Street Belle River, ON N0R 1A0",42.2936952,-82.7088738,2021-04-13T14:53:25.107Z,https://covid-19.ontario.ca/vaccine-locations
Bright's Grove Family Pharmacy,2670 New Lakeshore Road Brights,"Grove, ON",Ontario,N0N 1C0,"2670 New Lakeshore Road Brights Grove, ON N0N 1C0",43.02789,-82.255101,2021-04-13T14:53:25.142Z,https://covid-19.ontario.ca/vaccine-locations
Brighton Remedy's Rx,24 Main St.,"Brighton, ON",Ontario,K0K 2H0,"24 Main St. Brighton, ON K0K 2H0",44.0423496,-77.7379902,2021-04-13T14:53:25.141Z,https://covid-19.ontario.ca/vaccine-locations
Cahoon's Pharmacy,95 Deep River Road Deep,"River, ON",Ontario,K0J 1P0,"95 Deep River Road Deep River, ON K0J 1P0",46.0999591,-77.4870587,2021-04-13T14:53:25.156Z,https://covid-19.ontario.ca/vaccine-locations
Campbellville Pharmacy,35 Crawford Crescent,"Campbellville, ON",Ontario,L0P 1B0,"35 Crawford Crescent Campbellville, ON L0P 1B0",43.4880814,-79.9847031,2021-04-13T14:53:25.151Z,https://covid-19.ontario.ca/vaccine-locations
Canada Chemists,1975 Avenue Road,"Toronto, ON",Ontario,M5M 4A3,"1975 Avenue Road Toronto, ON M5M 4A3",43.734785,-79.419593,2021-04-13T14:53:25.381Z,https://covid-19.ontario.ca/vaccine-locations
Canadian Compounding Pharmacy,2920 Bloor Street West,"Toronto, ON",Ontario,M8X 1B6,"2920 Bloor Street West Toronto, ON M8X 1B6",43.648507,-79.5072291,2021-04-13T14:53:25.381Z,https://covid-19.ontario.ca/vaccine-locations
Care and Health Pharmacy,2928 Danforth Avenue,"Toronto, ON",Ontario,M4C 1M1,"2928 Danforth Avenue Toronto, ON M4C 1M1",43.6901834,-79.2934675,2021-04-13T14:53:25.381Z,https://covid-19.ontario.ca/vaccine-locations
Carl's IDA Pharmacy,1207 Hurontario Street,"Mississauga, ON",Ontario,L5G 3H2,"1207 Hurontario Street Mississauga, ON L5G 3H2",43.5593338,-79.5867252,2021-04-13T14:53:25.263Z,https://covid-19.ontario.ca/vaccine-locations
Carriage Crossing Pharmacy,105 Oak Park Drive Unit 4,"Waterloo, ON",Ontario,N2K 0B3,"105 Oak Park Drive Unit 4 Waterloo, ON N2K 0B3",43.5216075,-80.4983388,2021-04-13T14:53:25.439Z,https://covid-19.ontario.ca/vaccine-locations
Cassandra Pharmacy,2040 Victoria Park Avenue,"Toronto, ON",Ontario,M1R 1V2,"2040 Victoria Park Avenue Toronto, ON M1R 1V2",43.7524704,-79.3140955,2021-04-13T14:53:25.382Z,https://covid-19.ontario.ca/vaccine-locations
CATP Kingston,7 Hickson Avenue,"Kingston, ON",Ontario,K7K 2N4,"7 Hickson Avenue Kingston, ON K7K 2N4",44.2532378,-76.4852017,2021-04-13T14:53:25.212Z,https://covid-19.ontario.ca/vaccine-locations
Central Drug Mart Pharmachoice,250 Erie Street South,"Leamington, ON",Ontario,N8H 3C2,"250 Erie Street South Leamington, ON N8H 3C2",42.0393337,-82.5986993,2021-04-13T14:53:25.236Z,https://covid-19.ontario.ca/vaccine-locations
Central Drug Mart,"5415 Tecumseh Road East, Unit 501","Windsor, ON",Ontario,N8T 1C5,"5415 Tecumseh Road East, Unit 501 Windsor, ON N8T 1C5",42.3083012,-82.9589626,2021-04-13T14:53:25.447Z,https://covid-19.ontario.ca/vaccine-locations
Centrepointe Gabriel Drugs,117 Centrepointe Drive,"Nepean, ON",Ontario,K2G 5X3,"117 Centrepointe Drive Nepean, ON K2G 5X3",45.3429403,-75.7624942,2021-04-13T14:53:25.284Z,https://covid-19.ontario.ca/vaccine-locations
City Pharmacy Remedy's Rx,238 Danforth Avenue,"Toronto, ON",Ontario,M4K 1N4,"238 Danforth Avenue Toronto, ON M4K 1N4",43.6770696,-79.3553891,2021-04-13T14:53:25.382Z,https://covid-19.ontario.ca/vaccine-locations
Clinic Pharmacy,117 King St. East,"Oshawa, ON",Ontario,L1H 1B9,"117 King St. East Oshawa, ON L1H 1B9",43.8983198,-78.8594526,2021-04-13T14:53:25.310Z,https://covid-19.ontario.ca/vaccine-locations
Clinic Pharmacy,76 Stuart Street,"Kingston, ON",Ontario,K7L 2V7,"76 Stuart Street Kingston, ON K7L 2V7",44.2237426,-76.4935185,2021-04-13T14:53:25.212Z,https://covid-19.ontario.ca/vaccine-locations
Clinicplus I.D.A. Pharmacy,"10 Neighbourhood Lane, Unit 103","Etobicoke, ON",Ontario,M8Y 0C5,"10 Neighbourhood Lane, Unit 103 Etobicoke, ON M8Y 0C5",43.6373832,-79.4887769,2021-04-13T14:53:25.163Z,https://covid-19.ontario.ca/vaccine-locations
Cook's Pharmacy,1450 Block Line Road Unit 201,"Kitchener, ON",Ontario,N2C 0A5,"1450 Block Line Road Unit 201 Kitchener, ON N2C 0A5",43.419017,-80.469675,2021-04-13T14:53:25.226Z,https://covid-19.ontario.ca/vaccine-locations
Cookstown Pharmasave,52 Queen Street West,"Cookstown, ON",Ontario,L0L 1L0,"52 Queen Street West Cookstown, ON L0L 1L0",44.1894746,-79.7088314,2021-04-13T14:53:25.154Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,100 Biscayne Crescent,"Brampton, ON",Ontario,L6W 4S1,"100 Biscayne Crescent Brampton, ON L6W 4S1",43.6834157,-79.7122661,2021-04-13T14:53:25.121Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,100 Legend Court,"Ancaster, ON",Ontario,L9K 1J3,"100 Legend Court Ancaster, ON L9K 1J3",43.2300005,-79.9469005,2021-04-13T14:53:25.083Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,1225 Brant Street,"Burlington, ON",Ontario,L7P 1X7,"1225 Brant Street Burlington, ON L7P 1X7",43.3435508,-79.8246322,2021-04-13T14:53:25.143Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,130 Ritson Road,"Oshawa, ON",Ontario,L1G 0A6,"130 Ritson Road Oshawa, ON L1G 0A6",43.9029808,-78.85702,2021-04-13T14:53:25.311Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,1330 South Service Road Stoney,"Creek, ON",Ontario,L8E 5C5,"1330 South Service Road Stoney Creek, ON L8E 5C5",43.2152594,-79.642842,2021-04-13T14:53:25.368Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,1405 Blair Towers Place,"Gloucester, ON",Ontario,K1J 1A5,"1405 Blair Towers Place Gloucester, ON K1J 1A5",45.4349421,-75.6034548,2021-04-13T14:53:25.182Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,150 Kingston Road East,"Ajax, ON",Ontario,L1Z 1E5,"150 Kingston Road East Ajax, ON L1Z 1E5",43.8645341,-79.0189464,2021-04-13T14:53:25.068Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,18182 Yonge Street East,"Gwillimbury, ON",Ontario,L9N 0J3,"18182 Yonge Street East Gwillimbury, ON L9N 0J3",44.0728251,-79.4848989,2021-04-13T14:53:25.159Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,19 Elmira Road South,"Guelph, ON",Ontario,N1K 0B6,"19 Elmira Road South Guelph, ON N1K 0B6",43.522647,-80.2950195,2021-04-13T14:53:25.188Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,3180 Laird Road,"Mississauga, ON",Ontario,L5L 6A2,"3180 Laird Road Mississauga, ON L5L 6A2",43.521047,-79.6889729,2021-04-13T14:53:25.264Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,35 John Birchall Road Richmond,"Hill, ON",Ontario,L4S 0B2,"35 John Birchall Road Richmond Hill, ON L4S 0B2",43.9017003,-79.3908343,2021-04-13T14:53:25.337Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,41 Maple View Drive East,"Barrie, ON",Ontario,L4N 9A9,"41 Maple View Drive East Barrie, ON L4N 9A9",44.3346476,-79.6814322,2021-04-13T14:53:25.096Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,4315 Strandherd Drive,"Nepean, ON",Ontario,K2J 6E5,"4315 Strandherd Drive Nepean, ON K2J 6E5",45.2684597,-75.7843783,2021-04-13T14:53:25.285Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,485 The Parkway,"Peterborough, ON",Ontario,K9J 2A1,"485 The Parkway Peterborough, ON K9J 2A1",44.2723188,-78.340485,2021-04-13T14:53:25.327Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,5900 Rodeo Drive,"Mississauga, ON",Ontario,L5R 3S9,"5900 Rodeo Drive Mississauga, ON L5R 3S9",43.6121428,-79.6903758,2021-04-13T14:53:25.264Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,65 Kirkham Drive,"Markham, ON",Ontario,L3S 0A9,"65 Kirkham Drive Markham, ON L3S 0A9",43.8514712,-79.2505772,2021-04-13T14:53:25.253Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,693 Wonderland Road North,"London, ON",Ontario,N6H 4L1,"693 Wonderland Road North London, ON N6H 4L1",42.9875085,-81.2928291,2021-04-13T14:53:25.239Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,71 Colossus Drive,"Woodbridge, ON",Ontario,L4L 9J8,"71 Colossus Drive Woodbridge, ON L4L 9J8",43.78574,-79.5417277,2021-04-13T14:53:25.457Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,7500 Pin Oak Drive Niagara,"Falls, ON",Ontario,L2H 2E9,"7500 Pin Oak Drive Niagara Falls, ON L2H 2E9",43.0653121,-79.1262894,2021-04-13T14:53:25.292Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,770 Silver Seven Road,"Kanata, ON",Ontario,K2V 1A5,"770 Silver Seven Road Kanata, ON K2V 1A5",45.3026258,-75.9131164,2021-04-13T14:53:25.205Z,https://covid-19.ontario.ca/vaccine-locations
Costco,100 Billy Bishop Way North,"York, ON",Ontario,M3K 2C8,"100 Billy Bishop Way North York, ON M3K 2C8",43.7310297,-79.4559733,2021-04-13T14:53:25.297Z,https://covid-19.ontario.ca/vaccine-locations
Costco,1015 Centennial Drive,"Kingston, ON",Ontario,K7P 3B7,"1015 Centennial Drive Kingston, ON K7P 3B7",44.26018,-76.5603925,2021-04-13T14:53:25.213Z,https://covid-19.ontario.ca/vaccine-locations
Costco,1411 Warden Avenue,"Scarborough, ON",Ontario,M1R 2S3,"1411 Warden Avenue Scarborough, ON M1R 2S3",43.7594111,-79.2976102,2021-04-13T14:53:25.346Z,https://covid-19.ontario.ca/vaccine-locations
Costco,42 Overlea Boulevard Thorncliffe,"Park, ON",Ontario,M4H 1B8,"42 Overlea Boulevard Thorncliffe Park, ON M4H 1B8",43.707102,-79.3480393,2021-04-13T14:53:25.375Z,https://covid-19.ontario.ca/vaccine-locations
Costco,4411 Walker Road,"Windsor, ON",Ontario,N9A 6J3,"4411 Walker Road Windsor, ON N9A 6J3",42.2550804,-82.9656139,2021-04-13T14:53:25.447Z,https://covid-19.ontario.ca/vaccine-locations
Costco,50 Queen Elizabeth Boulevard,"Etobicoke, ON",Ontario,M8Z 1M1,"50 Queen Elizabeth Boulevard Etobicoke, ON M8Z 1M1",43.6234511,-79.5076464,2021-04-13T14:53:25.164Z,https://covid-19.ontario.ca/vaccine-locations
Credit Ridge Remedy’s Rx Pharmacy,"9525 Mississauga Road, Unit 7","Brampton, ON",Ontario,L6X 0Z8,"9525 Mississauga Road, Unit 7 Brampton, ON L6X 0Z8",43.658418,-79.8169362,2021-04-13T14:53:25.121Z,https://covid-19.ontario.ca/vaccine-locations
Crescent Park Pharmacy,1264 Garrison Road Unit 5 Fort,"Erie, ON",Ontario,L2A 1P1,"1264 Garrison Road Unit 5 Fort Erie, ON L2A 1P1",42.9052732,-78.9619671,2021-04-13T14:53:25.178Z,https://covid-19.ontario.ca/vaccine-locations
Crown Pointe Pharmacy,900 Watters Road Unit 13,"Orleans, ON",Ontario,K4A 0B4,"900 Watters Road Unit 13 Orleans, ON K4A 0B4",45.4824857,-75.4745687,2021-04-13T14:53:25.308Z,https://covid-19.ontario.ca/vaccine-locations
Dales Pharmacy,377 Church Street,"Markham, ON",Ontario,L6B 1A1,"377 Church Street Markham, ON L6B 1A1",43.8844932,-79.2324101,2021-04-13T14:53:25.254Z,https://covid-19.ontario.ca/vaccine-locations
Dawson Heights Pharmacy,109 Regina Avenue Thunder,"Bay, ON",Ontario,P7B 5B4,"109 Regina Avenue Thunder Bay, ON P7B 5B4",48.4512623,-89.2553546,2021-04-13T14:53:25.378Z,https://covid-19.ontario.ca/vaccine-locations
Demarco Pharmacy,2394 Keele Street,"Toronto, ON",Ontario,M6M 4A5,"2394 Keele Street Toronto, ON M6M 4A5",43.7082127,-79.4781558,2021-04-13T14:53:25.382Z,https://covid-19.ontario.ca/vaccine-locations
Division Pharmacy,"472 Division Street, Unit 2","Kingston, ON",Ontario,K7K 4B1,"472 Division Street, Unit 2 Kingston, ON K7K 4B1",44.2422699,-76.49576,2021-04-13T14:53:25.213Z,https://covid-19.ontario.ca/vaccine-locations
Dixie 5 Pharmacy,1185 Dundas Street East,"Mississauga, ON",Ontario,L4Y 2C6,"1185 Dundas Street East Mississauga, ON L4Y 2C6",43.6053492,-79.5895341,2021-04-13T14:53:25.264Z,https://covid-19.ontario.ca/vaccine-locations
Doon Mills Pharmacy,260 Doon South Drive Unit 4,"Kitchener, ON",Ontario,N2P 2L8,"260 Doon South Drive Unit 4 Kitchener, ON N2P 2L8",43.3819193,-80.4276536,2021-04-13T14:53:25.226Z,https://covid-19.ontario.ca/vaccine-locations
Downtown Windsor Pharmacy,100 Park Street West,"Windsor, ON",Ontario,N9A 7A5,"100 Park Street West Windsor, ON N9A 7A5",42.3162631,-83.0394787,2021-04-13T14:53:25.447Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,,"Beaverton, ON",Ontario,L0K 1A0,"Beaverton, ON L0K 1A0",44.4293703,-79.1534702,2021-04-13T14:53:25.106Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,1250 South Service Road,"Mississauga, ON",Ontario,L5E 1V4,"1250 South Service Road Mississauga, ON L5E 1V4",43.5930256,-79.5689483,2021-04-13T14:53:25.265Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,1530 Albion Road,"Etobicoke, ON",Ontario,M9V 1B4,"1530 Albion Road Etobicoke, ON M9V 1B4",43.7416936,-79.5843728,2021-04-13T14:53:25.164Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,25 Photography Drive,"Toronto, ON",Ontario,M6M 0A1,"25 Photography Drive Toronto, ON M6M 0A1",43.686662,-79.4839226,2021-04-13T14:53:25.383Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,35 Worthington Avenue,"Brampton, ON",Ontario,L7A 2Y7,"35 Worthington Avenue Brampton, ON L7A 2Y7",43.6836958,-79.8154916,2021-04-13T14:53:25.122Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,62 Thames Road East,"Exeter, ON",Ontario,N0M 1S3,"62 Thames Road East Exeter, ON N0M 1S3",43.3634597,-81.4812756,2021-04-13T14:53:25.176Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,7 Baseline Road East,"London, ON",Ontario,N6C 5Z8,"7 Baseline Road East London, ON N6C 5Z8",42.9578,-81.2599,2021-04-13T14:53:25.239Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,9305 Highway 48,"Markham, ON",Ontario,L6E 0E6,"9305 Highway 48 Markham, ON L6E 0E6",43.9018416,-79.2670315,2021-04-13T14:53:25.254Z,https://covid-19.ontario.ca/vaccine-locations
Drugcare Pharmacy,2563 Major Mackenzie Drive Unit 10,"Maple, ON",Ontario,L6A 2E8,"2563 Major Mackenzie Drive Unit 10 Maple, ON L6A 2E8",43.851878,-79.522317,2021-04-13T14:53:25.252Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,100 McArthur Ave.,"Vanier, ON",Ontario,K1L 6P9,"100 McArthur Ave. Vanier, ON K1L 6P9",45.4309319,-75.6654104,2021-04-13T14:53:25.434Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,101 Second Line,"Shelburne, ON",Ontario,L9V 3J4,"101 Second Line Shelburne, ON L9V 3J4",44.0807694,-80.1870706,2021-04-13T14:53:25.362Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,1045 Paisley Road,"Guelph, ON",Ontario,N1K 1X6,"1045 Paisley Road Guelph, ON N1K 1X6",43.5224689,-80.2894468,2021-04-13T14:53:25.189Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,160 Kortright Road West,"Guelph, ON",Ontario,N1G 4W2,"160 Kortright Road West Guelph, ON N1G 4W2",43.5137432,-80.2181014,2021-04-13T14:53:25.189Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,289 Coldwater Road,"Orillia, ON",Ontario,L3V 6J3,"289 Coldwater Road Orillia, ON L3V 6J3",44.6081399,-79.4378947,2021-04-13T14:53:25.307Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,3050 Argentia Road,"Mississauga, ON",Ontario,L5N 8E1,"3050 Argentia Road Mississauga, ON L5N 8E1",43.5953804,-79.7856304,2021-04-13T14:53:25.265Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,323 Toronto St. South,"Uxbridge, ON",Ontario,L9P 1N2,"323 Toronto St. South Uxbridge, ON L9P 1N2",44.0896959,-79.1308162,2021-04-13T14:53:25.433Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,3777 Strandherd Drive,"Nepean, ON",Ontario,K2J 4B1,"3777 Strandherd Drive Nepean, ON K2J 4B1",45.2681524,-75.7466046,2021-04-13T14:53:25.285Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,410 Fairview Drive,"Brantford, ON",Ontario,N3R 7N7,"410 Fairview Drive Brantford, ON N3R 7N7",43.1712173,-80.2495657,2021-04-13T14:53:25.140Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,55 Mountainash Road,"Brampton, ON",Ontario,L6R 1W4,"55 Mountainash Road Brampton, ON L6R 1W4",43.7602745,-79.7299534,2021-04-13T14:53:25.123Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,599 Fanshawe Park Road West,"London, ON",Ontario,N6G 5B3,"599 Fanshawe Park Road West London, ON N6G 5B3",43.0202323,-81.3097654,2021-04-13T14:53:25.240Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,60 Quarry Edge Drive,"Brampton, ON",Ontario,L6V 1K2,"60 Quarry Edge Drive Brampton, ON L6V 1K2",43.7077189,-79.7825675,2021-04-13T14:53:25.124Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,6085 Creditview Road,"Mississauga, ON",Ontario,L5V 2A8,"6085 Creditview Road Mississauga, ON L5V 2A8",43.5994406,-79.7132567,2021-04-13T14:53:25.265Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,620 Yonge Street,"Barrie, ON",Ontario,L4N 4E5,"620 Yonge Street Barrie, ON L4N 4E5",44.3552065,-79.6486316,2021-04-13T14:53:25.097Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,70 Clementine Drive,"Brampton, ON",Ontario,L6Y 0L8,"70 Clementine Drive Brampton, ON L6Y 0L8",43.6451692,-79.7550584,2021-04-13T14:53:25.123Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,70 Island Road,"Scarborough, ON",Ontario,M1C 2P5,"70 Island Road Scarborough, ON M1C 2P5",43.7982135,-79.1412713,2021-04-13T14:53:25.346Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,750 Ottawa St. South,"Kitchener, ON",Ontario,N2E 1B6,"750 Ottawa St. South Kitchener, ON N2E 1B6",43.4237858,-80.4873985,2021-04-13T14:53:25.226Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,760 Eagleson Road,"Kanata, ON",Ontario,K2M 0A7,"760 Eagleson Road Kanata, ON K2M 0A7",45.2827189,-75.8665256,2021-04-13T14:53:25.205Z,https://covid-19.ontario.ca/vaccine-locations
Dundas West Village Pharmacy,2940 Dundas Street West,"Toronto, ON",Ontario,M6P 1Y8,"2940 Dundas Street West Toronto, ON M6P 1Y8",43.6656136,-79.4675601,2021-04-13T14:53:25.383Z,https://covid-19.ontario.ca/vaccine-locations
Dynasty Pharmacy,"5460 Yonge Street, Unit 106 North","York, ON",Ontario,M2N 6K7,"5460 Yonge Street, Unit 106 North York, ON M2N 6K7",43.7774281,-79.4155611,2021-04-13T14:53:25.297Z,https://covid-19.ontario.ca/vaccine-locations
East York Pharmasave,"840 Coxwell Avenue, Unit 102","Toronto, ON",Ontario,M4C 5T2,"840 Coxwell Avenue, Unit 102 Toronto, ON M4C 5T2",43.6900078,-79.326603,2021-04-13T14:53:25.383Z,https://covid-19.ontario.ca/vaccine-locations
Elora Apothecary,115 Geddes St. Unit B,"Elora, ON",Ontario,N0B 1S0,"115 Geddes St. Unit B Elora, ON N0B 1S0",43.683628,-80.4303485,2021-04-13T14:53:25.161Z,https://covid-19.ontario.ca/vaccine-locations
