name,street,city,postal,date,link
North Hastings Family Pharmacy Ltd,217 Hastings St. North,"Bancroft, ON",K0L 1C0,2021-04-13T14:53:25.094Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,118 Hastings Street North,"Bancroft, ON",K0L 1C0,2021-04-13T14:53:25.095Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,41 Maple View Drive East,"Barrie, ON",L4N 9A9,2021-04-13T14:53:25.096Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,620 Yonge Street,"Barrie, ON",L4N 4E5,2021-04-13T14:53:25.097Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,472 Bayfield Street,"Barrie, ON",L4M 5A2,2021-04-13T14:53:25.098Z,https://covid-19.ontario.ca/vaccine-locations
Purehealth Pharmacy,201 Georgian Drive,"Barrie, ON",L4M 6M2,2021-04-13T14:53:25.098Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,353 Duckworth St.,"Barrie, ON",L4M 3X8,2021-04-13T14:53:25.099Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,320 Bayfield St.,"Barrie, ON",L4M 3B9,2021-04-13T14:53:25.100Z,https://covid-19.ontario.ca/vaccine-locations
Rexall Pharma Plus,567 Essa Road,"Barrie, ON",L4N 6A9,2021-04-13T14:53:25.100Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,524 Bayfield St. North,"Barrie, ON",L4M 5A2,2021-04-13T14:53:25.101Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,420 Essa Road,"Barrie, ON",L4N 9J7,2021-04-13T14:53:25.102Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,165 Wellington Street West,"Barrie, ON",L4N 1L7,2021-04-13T14:53:25.102Z,https://covid-19.ontario.ca/vaccine-locations
Springwater Pharmacy,1017 Carson Road,"Barrie, ON",L4M 0K1,2021-04-13T14:53:25.103Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,450 Bayfield St.,"Barrie, ON",L4M 5A2,2021-04-13T14:53:25.103Z,https://covid-19.ontario.ca/vaccine-locations
Bath Family Pharmacy,"220 Main Street, Unit 1","Bath, ON",K0H 1G0,2021-04-13T14:53:25.104Z,https://covid-19.ontario.ca/vaccine-locations
Pharmasave Michael's Pharmacy,2 Main Street South,"Bayfield, ON",N0M 1G0,2021-04-13T14:53:25.105Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,4486 Ontario Street,"Beamsville, ON",L0R 1B5,2021-04-13T14:53:25.105Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,,"Beaverton, ON",L0K 1A0,2021-04-13T14:53:25.106Z,https://covid-19.ontario.ca/vaccine-locations
Bradys Drug Store Belle River,190 Chisholm Street Belle,"River, ON",N0R 1A0,2021-04-13T14:53:25.107Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,330 Notre Dame Street Belle,"River, ON",N0R 1A0,2021-04-13T14:53:25.107Z,https://covid-19.ontario.ca/vaccine-locations
Kelly's Drug Store,411 Bridge Street East,"Belleville, ON",K8N 1P7,2021-04-13T14:53:25.108Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,173 Dundas St. East,"Belleville, ON",K8N 1C9,2021-04-13T14:53:25.108Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,390 Front St. North,"Belleville, ON",K8P 3E1,2021-04-13T14:53:25.109Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,405 Dundas St. East,"Belleville, ON",K8N 1E7,2021-04-13T14:53:25.109Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,150 Sidney Street,"Belleville, ON",K8P 5E2,2021-04-13T14:53:25.110Z,https://covid-19.ontario.ca/vaccine-locations
Binbrook Pharmacy,3011 Highway 56,"Binbrook, ON",L0R 1C0,2021-04-13T14:53:25.110Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,85 Bolton St.,"Bobcaygeon, ON",K0M 1A0,2021-04-13T14:53:25.111Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,405 Queen Street South,"Bolton, ON",L7E 2B5,2021-04-13T14:53:25.113Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1 Queensgate Blvd.,"Bolton, ON",L7E 2X7,2021-04-13T14:53:25.114Z,https://covid-19.ontario.ca/vaccine-locations
Zehrs Pharmacy,487 Queen St. South,"Bolton, ON",L7E 2B4,2021-04-13T14:53:25.114Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,2375 Highway 2,"Bowmanville, ON",L1C 5A3,2021-04-13T14:53:25.115Z,https://covid-19.ontario.ca/vaccine-locations
Metro Pharmacy,243 King St. East,"Bowmanville, ON",L1C 3X1,2021-04-13T14:53:25.116Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,570 Longworth Ave.,"Bowmanville, ON",L1C 0H4,2021-04-13T14:53:25.116Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,55 Highway 118 West,"Bracebridge, ON",P1L 1T2,2021-04-13T14:53:25.117Z,https://covid-19.ontario.ca/vaccine-locations
