,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
187562,35200703002,38,35200703,631,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3412,43.6684,1,0.2306,0,0.1164,0,0.1432,0,0.0429,0,0.2011,0,0.3903,0,0.1718,0,0.153,0,0.1632,0,0.0853,0,2,0
187563,35200704001,523,35200704,523,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3394,43.6711,1,0.212,0,0.053,0,0.1102,1,0.0315,0,0.1174,1,0.5563,0,0.1562,0,0.1108,0,0.075,0,0.0412,0,1,0
187564,35200705001,969,35200705,969,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3407,43.6728,1,0.2062,0,0.0467,0,0.092,1,0.0296,0,0.0868,0,0.3838,0,0.1186,0,0.1122,0,0.0584,1,0.0305,0,2,0
187565,35200706001,138,35200706,450,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.343,43.6714,1,0.2124,0,0.0394,0,0.1437,1,0.0375,0,0.0805,0,0.4075,0,0.1312,0,0.1639,0,0.1021,1,0.0488,0,1,0
187566,35200706002,82,35200706,450,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3426,43.6705,1,0.2184,0,0.0732,0,0.1329,0,0.0385,0,0.1592,1,0.7023,0,0.1309,0,0.1659,0,0.1071,1,0.056,0,2,0
187567,35200706003,230,35200706,450,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3454,43.671,1,0.2217,0,0.0346,0,0.1467,1,0.0426,0,0.0763,0,0.3986,0,0.129,0,0.1123,0,0.0817,0,0.0463,0,1,0
187568,35200707001,187,35200707,394,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3434,43.6723,1,0.2128,0,0.0397,0,0.1446,1,0.038,0,0.0806,0,0.4129,0,0.1321,0,0.1652,0,0.1034,0,0.0498,0,1,0
187569,35200707002,207,35200707,394,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3458,43.6718,1,0.2222,0,0.0519,0,0.1531,1,0.0442,0,0.088,0,0.4009,0,0.0929,0,0.1154,0,0.1088,0,0.0514,0,2,0
187570,35200708001,98,35200708,504,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3475,43.6774,1,0.2296,0,0.2017,1,0.3493,1,0.0519,0,0.166,1,0.7866,0,0.0723,0,0.1187,0,0.1818,1,0.0562,0,2,0
187571,35200708002,66,35200708,504,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3468,43.6743,1,0.2145,0,0.1195,0,0.1868,1,0.0335,0,0.079,0,0.4006,0,0.0745,0,0.0796,1,0.1785,0,0.0354,0,1,0
